Location,FileFolderName,SignatureType,Signature
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvid.dl_,MD5,B6040CB54B5ED9A8A2766E4F15D877BA
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvenc.dl_,CRC32,BC970B79
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,dbInstaller.exe,SHA1,BCE52E98D18D81A04F1C8F08133F8BCBDB4362AA
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvid32.dl_,CRC16,BD99
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuda32.dl_,CRC32,BF0E5E87
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcompiler32.dl_,SHA1,BF3011DCC846A1368837197F4B1F2AFAD8B04787
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvapi.dl_,SHA1,C12B457398CD9C2727AEECF307988C695E23E373
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvapi64.dl_,SHA1,C579834ECDEDED4CE8E0AC7F26E55DF69E89062D
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvapi64.dl_,CRC32,C59CD986
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvBridge.km_,SHA1,C71323F67956BBECD0B11BB953741BBF34DB9347
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,license.txt,MD5,C7E2FE565A12930A3538D4B1E70072BE
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuda32.dl_,HMACSHA1,C8B3F6CB42A498CBBF29B51E55B70AF8EDF0EF3B
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvenc.dl_,MD5,C9CB201D1CFA5E73E9252638C24A8D84
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,modes.txt,CRC16,CD7A
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvd3dumx.dl_,CRC16,CDF9
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,NvCplSetupEng.exe,CRC16,D065
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvenc64.dl_,MD5,D1B9CD5D0C0ED1D42FA0EEE8A47B497C
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuda.dl_,CRC16,D349
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvd3dum.dl_,CRC16,D4A9
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuda32.dl_,SHA1,D637F3D1699FD552A82AE3FA20123ECD5CDB6990
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvenc64.dl_,HMACSHA1,D884F17CAEF44DA179758612BD51E81250C67856
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,modes.txt,HMACSHA1,D935CA0411ED8AD8BC2920883191C70BF12477A7
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvapi.dl_,MD5,DABB26E6353DC27BBD1FAA7A0A84D652
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuda32.dl_,CRC16,DD49
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvid.dl_,HMACSHA1,DF7649093AD79776E5D84369A36B9EB3502E6D21
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvid.dl_,CRC16,E0A3
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,modes.txt,SHA1,E0F00D16A3C0604A82601A9E777991435184EFE8
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvd3dum.dl_,HMACSHA1,E7E4BD73BC0B9C35335AF515D419E553ABD51AB9
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,NvCplSetupEng.exe,MD5,EFCC2995A87FD69C25AC4B03EBACE1FB
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,NvCplSetupEng.exe,HMACSHA1,F3C691E2A50E6A98A4ECCF483841AFD448A090F4
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,license.txt,CRC32,F4497661
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,dbInstaller.exe,MD5,F5B44915FFE94A429C4CA6E2231450FB
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,dbInstaller.exe,CRC16,F93F
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvenc64.dl_,CRC16,F973
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvapi.dl_,CRC32,F9AED061
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvd3dumx.dl_,HMACSHA1,FAA43A682FF06E95CBBBC1DB828C0F78EDE83451
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,DisplayDriver.nvi,SHA1,FD03D80DD33C819C7FD9F8199D8C7FB6DDBFCF76
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcompiler.dl_,HMACSHA1,FD172E0791FEB24EF27ED784ECA8C75A194B5DB1
